vessel_name	vessel_service	vessel_class	vessel_type	vessel_subtype	flag_desc	vessel_activity_role_desc	waterway_name	substance_name	substance_class	substance_subclass	substance_type	substance_subtype	latitude	longitude	discharge_amnt_total	discharge_situation_type	unit_of_measure
UNNAMED (FL1166HW)	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Alleged Pollution Source	ATLANTIC INTRACOASTAL WATERWAY	"Oil, misc: Motor"	OIL	Petroleum	"Oil, misc"	Motor	26.064833	-80.114555	10	Point-source one-time discharge	GALLONS (Liquids Only)
RICHARD LAQUAY	Industrial Vessel	Miscellaneous Vessel	Cutter/Dredger	Cutter Suction	UNITED STATES	Acknowledged Pollution Source	LA QUINTA CHANNEL	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		27.87613	-97.26163	10	Point-source one-time discharge	GALLONS (Liquids Only)
WENDY ANN	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	MISSISSIPPI RIVER	"Other oil, oil with no CHRIS Code"	OIL	Petroleum	"Other oil, oil with no CHRIS Code"		38.70095167	-90.20815167	10	Point-source one-time discharge	GALLONS (Liquids Only)
CF 7687 SV	Recreational	Recreational	Small Watercraft	General	UNSPECIFIED	Alleged Pollution Source	ALAMITOS BAY	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	33.75169	-118.1169	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
NC9972BU	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Gill-netter	UNITED STATES	Acknowledged Pollution Source	ROANOKE SOUND	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	35.95821	-75.78586	10	Point-source one-time discharge	GALLONS (Liquids Only)
HONU	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	SAN DIEGO HARBOR	Oil: Diesel	OIL	Petroleum	Oil	Diesel	32.70821	-117.1784	10	Point-source one-time discharge	GALLONS (Liquids Only)
CAPT. HENRY JACKMAN	Freight Ship	Bulk Carrier	General	Self-Discharging	CANADA	Suspected Pollution Source	ST. LAWRENCE RIVER	"Oil, misc: Lubricating"	OIL	Petroleum	"Oil, misc"	Lubricating	45.00583	-74.67056	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
NIGHT STALKER	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	"Trawler, Stern"	UNITED STATES	Acknowledged Pollution Source	CHINCOTEAGUE HARBOR	"Bilge slops (Examples: bilge oil, bilge waste, bilge water, bilge waste oil, bilge slop oil, etc.)"	OIL	Petroleum	Bilge slops (Examples	"bilge oil, bilge waste, bilge water, bilge waste oil, bilge slop oil, etc.)"	37.95715	-75.46246	10	Point-source one-time discharge	GALLONS (Liquids Only)
ZB 335	Freight Barge	Barge	Deck Barge	General	UNITED STATES	Acknowledged Pollution Source	Womans Bay	Oil: Diesel	OIL	Petroleum	Oil	Diesel	57.74861	-152.4583	10	Point-source one-time discharge	GALLONS (Liquids Only)
IAN NIGEL	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	NEWPORT NEWS CREEK	Oil: Diesel	OIL	Petroleum	Oil	Diesel	36.97103	-76.41618	10	Point-source one-time discharge	GALLONS (Liquids Only)
NICHOLAS C	Offshore Supply Vessel	Offshore	Offshore Supply Vessel	General	UNITED STATES	Acknowledged Pollution Source	GULF INTRACOASTAL WATERWAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.09986	-95.20169	10	Point-source one-time discharge	GALLONS (Liquids Only)
S#OPM 1&2	Freight Barge	Barge	Deck Barge	Flat Deck Barge	UNITED STATES	Involved in a Marine Casualty	NEW RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	26.10959	-80.12006	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
HEADWAY	Towing Vessel	Towing Vessel	Pushing Ahead (Towboat)	Fleeting	UNITED STATES	Acknowledged Pollution Source	SAN JOAQUIN RIVER	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		37.9523055	-121.3183222	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
KIRBY 11323	Tank Barge	Barge	Bulk Liquid Cargo (Tank) Barge	Liquid Chemical Cargo Barge	UNITED STATES	Involved in a Marine Casualty	MISSISSIPPI RIVER	Benzene	CHEMICAL	Chemical	B	Benzene	30.29452	-91.23088833	10	Point-source discharge over a period of time	POUNDS (Solids Only)
JOSEPH BISSO	Industrial Vessel	Miscellaneous Vessel	Work Boat	General	UNITED STATES	Acknowledged Pollution Source	GULF DEEP WATER ACCESS	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		29.08111111	-91.48916667	10	Point-source one-time discharge	GALLONS (Liquids Only)
MASSACHUSETTS	Passenger (Inspected)	Passenger Ship	Excursion/Tour Vessel	"General (More Than 6, Gross Tonnage < 100)"	UNITED STATES	Involved in a Marine Casualty	Broad Sound	Oil: Diesel	OIL	Petroleum	Oil	Diesel	42.35166667	-70.90643333	10	Point-source one-time discharge	GALLONS (Liquids Only)
LAST DANCE	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	PORT OF KEY WEST	Oil: Diesel	OIL	Petroleum	Oil	Diesel	24.54099	-81.8203	10	Point-source one-time discharge	GALLONS (Liquids Only)
NORTH GANTRY	Freight Barge	Barge	Deck Barge	Roll-on Roll-off	UNITED STATES	Acknowledged Pollution Source	CHERRYSTONE INLE	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		37.3159	-75.98766	10	Point-source one-time discharge	GALLONS (Liquids Only)
HARMONY	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	UMPQUA RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	43.70842	-124.1069	10	Point-source one-time discharge	GALLONS (Liquids Only)
NY3065PW	Recreational	Recreational	Motor Propelled Vessels	General	UNITED STATES	Acknowledged Pollution Source	NIAGARA RIVER	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	43.05057	-78.90369	10	Point-source one-time discharge	GALLONS (Liquids Only)
RELIANCE	Commercial Fishing Vessel	Fishing Vessel	Fishing Support Vessel	Fishing Tender	UNITED STATES	Acknowledged Pollution Source	NAKNEK RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	58.69667	-156.6761	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
GOT-TO	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	ATLANTIC INTRACOASTAL WATERWAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	26.26266	-80.08342	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
CAPT JEROME	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Involved in a Marine Casualty	FLORIDA SHALLOW WATER SPINE	Oil: Crude	OIL	Petroleum	Oil	Crude	28.38359	-80.42494	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
LESTRALAUR	Recreational	Recreational	Motor Propelled Vessels	"Yacht, Luxury"	UNITED STATES	Acknowledged Pollution Source	SAN DIEGO HARBOR	Oil: Diesel	OIL	Petroleum	Oil	Diesel	32.70821	-117.1784	10	Point-source one-time discharge	GALLONS (Liquids Only)
AK6916AF	Recreational	Recreational	Motor Propelled Vessels	Sport Fisher	UNITED STATES	Acknowledged Pollution Source	COOK INLET	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	60.54778	-151.2644	10	Point-source one-time discharge	GALLONS (Liquids Only)
M/V MAUMEE	Freight Ship	Bulk Carrier	Ore Carrier	Self-Discharging	UNITED STATES	Alleged Pollution Source	"LAKE ERIE, Cuyahoga River"	Oil: Diesel	OIL	Petroleum	Oil	Diesel	41.51852	-81.70728	10	Point-source one-time discharge	GALLONS (Liquids Only)
CAROLYN MARIE	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	MISSISSIPPI SOUND	"Oil, misc: Motor"	OIL	Petroleum	"Oil, misc"	Motor	30.18013	-89.30453	10	Point-source one-time discharge	GALLONS (Liquids Only)
BILOXI CLIPPER	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	ST. LOUIS BAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	30.34032	-89.2541	10	Point-source one-time discharge	GALLONS (Liquids Only)
WILLIAM HOEY	Recreational	Recreational	Motor Propelled Vessels	General	UNITED STATES	Alleged Pollution Source	Cheboygan River	"Oil, misc: Lubricating"	OIL	Petroleum	"Oil, misc"	Lubricating	45.65216667	-84.46716667	10	Point-source one-time discharge	GALLONS (Liquids Only)
HALEAKALA	Freight Barge	Barge	Container Barge	General	UNITED STATES	Acknowledged Pollution Source	HONOLULU HARBOR	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		21.31111	-157.8717	10	Point-source one-time discharge	GALLONS (Liquids Only)
HELEN D	Passenger (Inspected)	Passenger Ship	Diving Vessel (Recreational)	"General (More Than 6, Gross Tonnage < 100)"	UNITED STATES	Suspected Pollution Source	St. Ignace City Marina	Oil: Diesel	OIL	Petroleum	Oil	Diesel	45.86666667	84.7175	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
STRYKER	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Involved in a Marine Casualty	ARCTIC OCEAN ACCESS	Oil: Diesel	OIL	Petroleum	Oil	Diesel	70.52166667	-150.095	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
MMLP 570	Tank Barge	Barge	Bulk Liquid Cargo (Tank) Barge	Oil Cargo Barge	UNITED STATES	Acknowledged Pollution Source	GALVESTON CHANNEL	"Oil, misc: Lubricating"	OIL	Petroleum	"Oil, misc"	Lubricating	29.31639	-94.78561	10	Point-source one-time discharge	GALLONS (Liquids Only)
DONNY JOE	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Pot/Trap	UNITED STATES	Acknowledged Pollution Source	Moss landing Harbor	Oil: Diesel	OIL	Petroleum	Oil	Diesel	36.80027667	-121.78361	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
VA1235AD	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNITED STATES	Acknowledged Pollution Source	MILFORD HAVEN	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	37.48735	-76.2953	10	Point-source one-time discharge	GALLONS (Liquids Only)
CARMELLA D	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	JAMES RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	36.95667	-76.40994	10	Point-source one-time discharge	GALLONS (Liquids Only)
CORCOVADO	Offshore Supply Vessel	Offshore	Offshore Supply Vessel	General	UNITED STATES	Acknowledged Pollution Source	BAYOU LAFOURCHE	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.57177	-90.38384	10	Point-source one-time discharge	GALLONS (Liquids Only)
CAPE CROSS	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Involved in a Marine Casualty	PRINCE WILLIAM SOUND	"Oil, misc: Lubricating"	OIL	Petroleum	"Oil, misc"	Lubricating	60.778583	-148.310531	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
NO NAME	Recreational	Recreational	Motor Propelled Vessels	Cabin Cruiser	UNITED STATES	Acknowledged Pollution Source	VENICE INLET	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	27.12206	-82.44917	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
MY TIME	Recreational	Recreational	Motor Propelled Vessels	General	UNITED STATES	Acknowledged Pollution Source	COMMENCEMENT BAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	47.28966	-122.4515	10	Point-source one-time discharge	GALLONS (Liquids Only)
DREAM WEAVER	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	OAK BAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	48.01195	-122.7132	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
BARREN ISLANDS	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	STIKINE STRAIT	"Oil, misc: Lubricating"	OIL	Petroleum	"Oil, misc"	Lubricating	56.44328	-132.4159	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
HOYDEN	Recreational	Recreational	General	General	UNITED STATES	Alleged Pollution Source	COLUMBIA RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	45.88825	-122.7995	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
DESTINY	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	PORT GARDNER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	47.98476	-122.2294	10	Point-source one-time discharge	GALLONS (Liquids Only)
CF7441FX	Recreational	Recreational	Motor Propelled Vessels	Cabin Cruiser	UNITED STATES	Acknowledged Pollution Source	ALAMITOS BAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	33.75169	-118.1169	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
CAPT DAVIS	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Alleged Pollution Source	HAWAII DEEP WATER LOOP	"Other oil, oil with no CHRIS Code"	OIL	Petroleum	"Other oil, oil with no CHRIS Code"		21.18	-152.1255	10	Point-source one-time discharge	GALLONS (Liquids Only)
TX 1630-CX	Industrial Vessel	Barge	Industrial Barge	Spud Barge	UNITED STATES	Involved in a Marine Casualty	JONES BAY	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		29.29112	-94.88918	10	Point-source one-time discharge	GALLONS (Liquids Only)
THUNDER BAY	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	ACUSHNET RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	41.63641	-70.91624	10	Point-source one-time discharge	GALLONS (Liquids Only)
USS LEYTE GULF (CG 55)	"Public Vessel, Unclassified"	Warship	Cruiser	General	UNITED STATES	Acknowledged Pollution Source	ELIZABETH RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	36.92138883	-76.34275	10	Point-source one-time discharge	GALLONS (Liquids Only)
MARCO MARINE CONSTRUCTION DECK BARGE	Freight Barge	Barge	Deck Barge	General	UNITED STATES	Acknowledged Pollution Source	NAPLES/MARCO PASS CHANNEL	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		25.92489433	-81.718925	10	Point-source one-time discharge	GALLONS (Liquids Only)
FL4829JA	Towing Vessel	Towing Vessel	Pushing Ahead (Towboat)	General	UNITED STATES	Acknowledged Pollution Source	NAPLES/MARCO PASS CHANNEL	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	25.92489433	-81.718925	10	Point-source one-time discharge	GALLONS (Liquids Only)
P & S # 1	Industrial Vessel	Miscellaneous Vessel	"Drydock, Floating"	General	UNITED STATES	Acknowledged Pollution Source	SAVANNAH RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	32.08339	-81.03772	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
TAURUS	Towing Vessel	Towing Vessel	Harbor/Ship Assist (Tug)	Harbor	UNITED STATES	Suspected Pollution Source	"BELFAST HARBOR, ME"	Oil: Diesel	OIL	Petroleum	Oil	Diesel	44.24278	-68.93768	10	Point-source one-time discharge	GALLONS (Liquids Only)
CBC 52	Tank Barge	Barge	Bulk Liquid Cargo (Tank) Barge	Liquid Chemical Cargo Barge	UNITED STATES	Acknowledged Pollution Source	CALCASIEU RIVER	"Oil, misc: Lubricating"	OIL	Petroleum	"Oil, misc"	Lubricating	30.25366	-93.22034	10	Point-source one-time discharge	GALLONS (Liquids Only)
WN8676NH	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Diving	UNITED STATES	Alleged Pollution Source	PUGET SOUND	Oil: Diesel	OIL	Petroleum	Oil	Diesel	47.24014	-122.5746	10	Point-source one-time discharge	GALLONS (Liquids Only)
USS SQUALL (PC 7)	"Public Vessel, Unclassified"	Warship	Patrol Ship	General	UNITED STATES	Acknowledged Pollution Source	Elizabeth River	"Other oil, oil with no CHRIS Code"	OIL	Petroleum	"Other oil, oil with no CHRIS Code"		36.83389083	-76.26805833	10	Point-source one-time discharge	GALLONS (Liquids Only)
DELTA TEAL	Towing Vessel	Towing Vessel	Pushing Ahead (Towboat)	Canal	UNITED STATES	Acknowledged Pollution Source	"HOUMA NAVIGATION CANAL, UPPER"	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.571595	-90.71725167	10	Point-source one-time discharge	GALLONS (Liquids Only)
Sea-Sons	Recreational	Recreational	Motor Propelled Vessels	Sport Fisher	UNITED STATES	Acknowledged Pollution Source		Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	40.76	-74.02166667	10	Point-source one-time discharge	GALLONS (Liquids Only)
GRATITUDE	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	ORIENT HARBOR	Oil: Diesel	OIL	Petroleum	Oil	Diesel	41.13615	-72.30864	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
EVERGREEN	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	PUGET SOUND	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	48.4021	-122.736	10	Point-source one-time discharge	GALLONS (Liquids Only)
ORACLE	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	SAN DIEGO HARBOR	Oil: Diesel	OIL	Petroleum	Oil	Diesel	32.61777667	-117.1666667	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
ECSTASY	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	Scott's Creek	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	36.84875	-76.31538333	10	Point-source one-time discharge	GALLONS (Liquids Only)
WOODY'S WAGON	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	Mission Bay	Oil: Diesel	OIL	Petroleum	Oil	Diesel	32.7675	-117.235555	10	Point-source one-time discharge	GALLONS (Liquids Only)
FL2108BK	Recreational	Recreational	Motor Propelled Vessels	Cabin Cruiser	UNITED STATES	Acknowledged Pollution Source	ATLANTIC INTRACOASTAL WATERWAY	"Oil, misc: Lubricating"	OIL	Petroleum	"Oil, misc"	Lubricating	24.94103333	-80.607855	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
GRADY FAGAN	Offshore Supply Vessel	Offshore	Offshore Supply Vessel	General	UNITED STATES	Acknowledged Pollution Source	BAYOU LAFOURCHE	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.16017	-90.23445	10	Point-source one-time discharge	GALLONS (Liquids Only)
SELAH	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	ELLIOTT BAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	47.51295	-122.302501	10	Point-source one-time discharge	GALLONS (Liquids Only)
SEA GODDESS	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	THEODORE SHIP CHANNEL	Oil: Diesel	OIL	Petroleum	Oil	Diesel	30.53026667	-88.10515	10	Point-source one-time discharge	GALLONS (Liquids Only)
JOLLY ROGER	Recreational	Recreational	Motor Propelled Vessels	"Yacht, Trawler Type"	UNITED STATES	Acknowledged Pollution Source	ATLANTIC INTRACOASTAL WATERWAY	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	27.1656	-80.17993	10	Point-source one-time discharge	GALLONS (Liquids Only)
PRO SURVEYOR	Commercial Fishing Vessel	Fishing Vessel	Fishing Catching/Processing Vessel	General Catcher/Processor	UNITED STATES	Acknowledged Pollution Source	LAKE WASHINGTON SHIP CANAL	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		47.664727	-122.394637	10	Point-source one-time discharge	GALLONS (Liquids Only)
ASIAN GLORY	Freight Ship	Ro-Ro Cargo Ship	Ro-Ro/Container	General	UNITED KINGDOM	Acknowledged Pollution Source	SAN DIEGO HARBOR	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		32.64233333	-117.109	10	Point-source one-time discharge	GALLONS (Liquids Only)
SEWARD JOHNSON	Research Vessel	General Dry Cargo Ship	General	General	"BAHAMAS, THE"	Acknowledged Pollution Source	ATLANTIC INTRACOASTAL WATERWAY	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		27.84016	-80.47162	10	Point-source one-time discharge	GALLONS (Liquids Only)
LIMESTONE LADY	Towing Vessel	Towing Vessel	Pushing Ahead (Towboat)	Linehaul	UNITED STATES	Suspected Pollution Source	TENNESSEE RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	37.016463	-88.268259	10	Point-source one-time discharge	GALLONS (Liquids Only)
ISLAND ENTERPRISE	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Source Vessel for Cargo Transfer	Captains Bay	"Oil, edible: Fish"	OIL	"Oil, Non-Petroleum Products"	"Oil, edible"	Fish	53.85	-166.6	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
